0,231,1369
2,230,1368
4,229,1367
6,228,1366
9,227,1365
11,226,1364
13,226,1363
15,226,1362
19,226,1361
23,226,1360
26,226,1359
30,227,1358
34,226,1359
37,227,1358
41,226,1359
45,227,1358
49,226,1359
53,227,1358
57,226,1359
61,227,1358
65,226,1359
69,227,1358
72,226,1359
76,227,1358
80,226,1359
84,227,1358
88,226,1359
92,227,1358
96,226,1359
100,227,1358
104,226,1359
108,227,1358
112,226,1359
116,227,1358
119,226,1359
121,227,1358
123,226,1359
125,227,1358
127,226,1359
130,227,1358
134,226,1359
138,227,1358
142,226,1359
146,227,1358
150,226,1359
153,227,1358
157,226,1359
161,227,1358
165,226,1359
169,227,1358
173,226,1359
177,227,1358
180,226,1359
182,227,1358
184,226,1359
186,227,1358
188,226,1359
190,227,1358
192,226,1359
194,227,1358
196,226,1359
198,227,1358
201,226,1359
205,227,1358
209,226,1359
212,227,1358
216,226,1359
218,227,1358
220,226,1359
224,227,1358
226,226,1359
228,227,1358
230,226,1359
233,227,1358
237,226,1359
241,227,1358
244,226,1359
248,227,1358
252,226,1359
256,227,1358
260,226,1359
263,227,1358
267,226,1359
271,227,1358
275,226,1359
279,227,1358
283,226,1359
286,227,1358
288,226,1359
290,227,1358
292,226,1359
294,227,1358
296,226,1359
298,227,1358
